Oil,SteamINJ,SolutionGas,Method,Region,k_14
5217,860,551.3,CSS,Peace River,12
5331,46,1276.2,SAGD,Cold Lake,11
5376,1050,768.3,CSS,Peace River,14
6567,1067,1141.7,CSS,Peace River,14
7803,283,117.4,SAGD,Athabasca,13
8064,1040,921.4,CSS,Peace River,14
8896,93,1163.7,CSS,Peace River,11
9116,244,18.3,SAGD,Athabasca,11
9554,1006,874.1,CSS,Peace River,14
9765,2,19.5,SAGD,Athabasca,11
10513,1109,889.3,CSS,Peace River,14
10516,192,1169.8,CSS,Peace River,11
10809,116,97.3,SAGD,Athabasca,11
11054,147,55.3,SAGD,Athabasca,11
11062,1026,271.5,SAGD,Athabasca,14
12920,276,1212.3,CSS,Peace River,13
15314,350,1153.5,CSS,Peace River,13
15538,1096,1297,CSS,Peace River,14
16340,191,1169.8,CSS,Peace River,11
16538,153,82.8,SAGD,Athabasca,11
16598,33,1199.5,SAGD,Cold Lake,11
16732,904,16.7,SAGD,Athabasca,12
16739,995,16.7,SAGD,Athabasca,14
17113,95,1188.8,CSS,Peace River,11
18048,225,1634.9,CSS,Peace River,11
18584,524,591.2,SAGD,Athabasca,7
18831,1085,1064.3,CSS,Peace River,14
19076,299,1784.9,CSS,Peace River,13
19269,311,850.7,CSS,Peace River,13
19871,227,1598.6,CSS,Peace River,11
19876,306,1937.3,CSS,Peace River,13
20179,318,2037.1,CSS,Peace River,13
20231,175,1381.8,CSS,Peace River,11
20307,239,1403,CSS,Peace River,11
20424,159,713.8,CSS,Peace River,11
20659,379,1526.1,CSS,Peace River,13
20863,168,1459.9,CSS,Peace River,11
21077,19,1780.3,CSS,Peace River,11
21362,66,341.3,SAGD,Athabasca,11
21424,7,1539.8,CSS,Peace River,11
21504,345,1663,CSS,Peace River,13
21905,130,151,SAGD,Athabasca,11
22009,650,228.5,SAGD,Athabasca,7
22378,18,1642,CSS,Peace River,11
22455,101,1888.2,CSS,Peace River,11
22863,1127,1919.4,CSS,Peace River,14
22884,1010,1220.3,SAGD,Cold Lake,14
22905,173,114.5,SAGD,Athabasca,11
22957,32,1908.9,CSS,Peace River,11
23082,207,232.6,SAGD,Athabasca,11
23279,25,1868,CSS,Peace River,11
23654,148,250.8,SAGD,Athabasca,11
23782,158,118.9,SAGD,Athabasca,11
23910,50,1696.1,CSS,Peace River,11
24006,47,1938.2,CSS,Peace River,11
24142,11,1570.8,CSS,Peace River,11
24515,113,561.6,SAGD,Athabasca,11
24533,40,2070,CSS,Peace River,11
24625,83,2040,CSS,Peace River,11
24730,39,2074.5,CSS,Peace River,11
24781,59,1861.3,CSS,Peace River,11
24979,313,50,SAGD,Athabasca,13
25058,14,1638.7,CSS,Peace River,11
25092,42,1845.7,CSS,Peace River,11
25152,16,1543.8,CSS,Peace River,11
25220,89,2037.8,CSS,Peace River,11
25230,43,2008.9,CSS,Peace River,11
25483,69,1845.8,CSS,Peace River,11
25513,102,2106.3,CSS,Peace River,11
25585,152,1766.4,CSS,Peace River,11
25746,76,1954.8,CSS,Peace River,11
26122,58,2113.5,CSS,Peace River,11
26416,100,2182.2,CSS,Peace River,11
26425,71,2184.4,CSS,Peace River,11
26742,81,2206.5,CSS,Peace River,11
26769,94,2229,CSS,Peace River,11
26788,65,2192,CSS,Peace River,11
27077,202,1762,CSS,Peace River,11
27244,48,1209.4,SAGD,Cold Lake,11
27644,55,2153.9,CSS,Peace River,11
28134,149,1612.9,CSS,Peace River,11
29156,1118,1718.8,CSS,Peace River,14
29674,1105,29.7,SAGD,Athabasca,14
29991,997,263.2,SAGD,Athabasca,14
31090,154,62.2,SAGD,Athabasca,11
31097,550,62.2,SAGD,Athabasca,7
31249,87,1923.1,CSS,Peace River,11
31258,732,424.1,SAGD,Athabasca,7
